,id_base_legal,descripcion,articulo,estado
0,1ec15d1ac2254decb78a1446bd789ba5,Name drop since inside including boy sure officer get hospital learn service start area outside up.,True,activo
1,672612fa16844ba6bf54d1d0ec5627fb,Season think nation measure economy perform force dog keep fish part admit ago pay perhaps population likely trade institution particular speak dinner go mouth out close him.,True,activo
2,a074086a81f54da382c9833ba8e899cf,Road movement identify clearly community point with property unit official despite serious boy not challenge economy key consumer.,True,activo
3,d7834989fcd44048afa77a034ffe5ea0,Close role technology ready wear reason toward make believe plan nation relationship assume check I let common event hair accept school cut entire site conference.,True,activo
4,fe20520e68394e3caf6b03b003e0e120,Live thank about.,False,activo
5,6da1c1ee72d544b2b6a76a35f3b640e1,We.,False,activo
6,8596554f97c549bc8d846971f2c27f2c,Low play.,False,activo
7,8f28f16a92654787992c31471fc7218e,Speech call.,False,activo
8,e3531f1865ea43c28432217e8be7f6f8,Once law audience.,False,activo
9,adb131acc4904ebba00478ae50bc6d8e,Figure Democrat agency ever stop remember purpose head start day news field let approach thus maybe section their all.,True,activo
10,e9d11ea8288e41d58e638aa29639aa97,Court consumer them expert here hotel strategy board certain training wrong customer scientist challenge resource boy.,True,activo
11,59cc6959c1814d539b1d50b4d236fc3f,Quickly red pull oil.,False,activo
12,36895c21535b491db73b890a184439c0,For prevent family.,False,activo
13,7798338f578b4976b79d76f831e42e88,Maintain toward bed billion data candidate music something left down term few.,True,activo
14,92b95c6e897743598b2c0e6176f7d969,Section toward happy art child easy consider left level make become machine tax kind arrive Congress choice international product prevent brother.,True,activo
15,5881cc00adec41248280c06c61d993f2,Rise a.,False,activo
16,8a8727cae8b64fa9afc70623fcb30e2c,Before mention else.,False,inactivo
17,dd59278be7a642b1bb9f8de3a1e1037c,Commercial foot able traditional buy region too cultural general so collection to low catch international later conference election analysis wear might end pay risk late happen.,True,activo
18,dd9a86614b3342c69ae5c3a5d8e33150,Amount beat admit animal foot team never they skin campaign traditional service.,True,activo
19,c75086eba7294cc2a44263ab89afc907,Accept could financial.,False,activo
20,7113076d2f2547fa9405cae99f0943a8,Stuff game season.,False,activo
21,b2ba1b766fbf4622bcf0ced755aa2c12,Her mention do level magazine worker type baby top baby.,True,activo
22,72696c22627c422b9b7f29fccdfe0e9f,When life work media listen specific leader very image tend television oil lose offer all throughout now upon go thus member city edge mouth record film we sure.,True,activo
23,7da6da5302724dbbb40bd53be3a6f96c,Medical.,False,activo
24,6dd8f91ac199454086fd1f5bac21edf7,Upon relationship early.,False,activo
