,codigo_rol,nombre_rol,descripcion_rol,fin_rol
0,1c9c6839523f42cfa01261cfe4420a90,nada,Guy area decide bad hand push security animal clear store court note usually charge speech identify follow inside.,True
1,5fedd203dec94550aca9967f515b354d,nada,Key produce performance cell both push once summer medical available attorney southern wife interesting serious.,True
2,8fa6708e474241dd8166826ae6509fd0,nada,Professor newspaper Mrs.,False
3,ac4ec4c1250f4deb94207156daf70fde,nada,Stop growth property keep plan writer reality trouble lot leave recently political.,True
4,df7f364b5b9549e69c35036229164667,nada,Born whole top.,False
5,00a0c1a5bb6c47cca0170965c1b188f9,nada,Market hear.,False
6,7bbf5c810d6a49cf88357d3d119b0e4a,nada,Once main wonder note do north usually lot its consider simply president level.,True
7,d8a359477f8a406ea0fbc28d7afbc274,nada,Ever here ahead anyone standard because husband threat whether worker sort dog enter attorney myself mention traditional as truth person.,True
8,26c3050e1b0442ce826718d4a7a13e67,nada,Region policy others produce.,False
9,103657c13163498abb7510a2ed03e290,nada,Admit action.,False
10,6b3b89d813a34f9dbc2f84aa4ae398ff,nada,Four dinner improve.,False
11,5b33c36e68db442cb0a8747b2664605e,nada,Yes term develop apply show matter effect goal than important grow turn business remain environmental sit wonder my area many ability rich animal respond size scientist.,True
12,72ed7a32426940eb825bc6a015565194,nada,Actually.,False
13,745fad58505a45929d0f4f9783399882,nada,Area impact add ever late former middle especially decide audience.,True
14,4d55adc6718d41b88d4d24258f4eb1c2,nada,Receive coach perhaps left third people all perform continue best strong paper prepare federal reduce those part parent.,True
15,9af6e93414014993928c0bb221a85b43,nada,Sense once former in rather trouble school tough movie available painting option quality quite material.,True
16,b7cfff2ef8804240a5921c8ce7c7ead6,nada,Direction financial conference what turn either director require design whole range stand community hundred employee.,True
17,b03e1255ff9d4e1e9f1e382dbfa4f9b0,nada,Huge social.,False
18,f30f5c887fb7469290421fe798abef70,nada,Card affect up create magazine month population open thousand green write drive anything meet choice American deep lay himself describe attack player table.,True
19,967f97a78f1144ec9873a96a39f41dc9,nada,Stay wait show under hope exactly keep or partner positive possible word animal sing language.,True
20,4b86c3b847854c2aa1410e1a0c976df6,nada,Final seem reveal compare democratic defense court down something employee model indicate sense sometimes when west standard reduce nature image seat yes stage figure knowledge stay.,True
21,da4f5b499bb04bffaf3b0382a0e924ec,nada,Character which establish employee grow party call open decade market most he glass station tree middle far another high goal new eye.,True
